dataset,CL,zs_mse,fs5_mse
etth1,512,0.407,0.383
etth2,512,0.356,0.334
ettm1,512,0.392,0.386
ettm2,512,0.288,0.283
weather,512,0.23,0.228
electricity,512,0.212,0.18
traffic,512,0.561,0.424
etth1,1024,0.405,0.385
etth2,1024,0.34,0.32
ettm1,1024,0.39,0.389
ettm2,1024,0.274,0.271
weather,1024,0.227,0.227
electricity,1024,0.198,0.201
traffic,1024,0.518,0.438
etth1,1536,0.396,0.384
etth2,1536,0.338,0.322
ettm1,1536,0.366,0.367
ettm2,1536,0.256,0.256
weather,1536,0.226,0.224
electricity,1536,0.196,0.179
traffic,1536,0.505,0.488
