dataset,CL,FL,zs_mse,fs5_mse
etth1,512,96,0.363,0.362
etth1,512,192,0.387,0.386
etth1,512,336,0.402,0.4
etth1,512,720,0.475,
etth2,512,96,0.276,0.273
etth2,512,192,0.346,0.345
etth2,512,336,0.385,0.384
etth2,512,720,0.419,
ettm1,512,96,0.338,0.341
ettm1,512,192,0.38,0.373
ettm1,512,336,0.402,0.389
ettm1,512,720,0.446,0.442
ettm2,512,96,0.176,0.176
ettm2,512,192,0.246,0.242
ettm2,512,336,0.324,0.315
ettm2,512,720,0.406,0.398
weather,512,96,0.15,0.15
weather,512,192,0.195,0.195
weather,512,336,0.256,0.247
weather,512,720,0.319,0.319
electricity,512,96,0.18,0.145
electricity,512,192,0.194,0.162
electricity,512,336,0.213,0.183
electricity,512,720,0.26,0.231
traffic,512,96,0.518,0.41
traffic,512,192,0.538,0.421
traffic,512,336,0.571,0.44
traffic,512,720,0.617,
etth1,1024,96,0.359,0.359
etth1,1024,192,0.389,0.389
etth1,1024,336,0.409,0.406
etth1,1024,720,0.462,
etth2,1024,96,0.269,0.269
etth2,1024,192,0.331,0.331
etth2,1024,336,0.359,0.359
etth2,1024,720,0.402,
ettm1,1024,96,0.337,0.336
ettm1,1024,192,0.387,0.387
ettm1,1024,336,0.411,0.407
ettm1,1024,720,0.427,0.427
ettm2,1024,96,0.176,0.176
ettm2,1024,192,0.239,0.238
ettm2,1024,336,0.29,0.289
ettm2,1024,720,0.391,0.383
weather,1024,96,0.15,0.15
weather,1024,192,0.195,0.197
weather,1024,336,0.245,0.244
weather,1024,720,0.318,0.316
electricity,1024,96,0.158,0.147
electricity,1024,192,0.181,0.173
electricity,1024,336,0.196,0.197
electricity,1024,720,0.255,0.286
traffic,1024,96,0.474,0.418
traffic,1024,192,0.496,0.435
traffic,1024,336,0.521,0.461
traffic,1024,720,0.581,
etth1,1536,96,0.357,0.357
etth1,1536,192,0.386,0.387
etth1,1536,336,0.405,0.407
etth1,1536,720,0.435,
etth2,1536,96,0.274,0.277
etth2,1536,192,0.331,0.331
etth2,1536,336,0.356,0.357
etth2,1536,720,0.392,
ettm1,1536,96,0.327,0.331
ettm1,1536,192,0.353,0.352
ettm1,1536,336,0.387,0.386
ettm1,1536,720,0.399,0.398
ettm2,1536,96,0.168,0.168
ettm2,1536,192,0.231,0.23
ettm2,1536,336,0.276,0.276
ettm2,1536,720,0.35,0.348
weather,1536,96,0.15,0.149
weather,1536,192,0.192,0.192
weather,1536,336,0.248,0.245
weather,1536,720,0.316,0.308
electricity,1536,96,0.155,0.138
electricity,1536,192,0.178,0.158
electricity,1536,336,0.197,0.176
electricity,1536,720,0.253,0.244
traffic,1536,96,0.463,0.466
traffic,1536,192,0.488,0.488
traffic,1536,336,0.504,0.509
traffic,1536,720,0.566,
