dataset,CL,FL,zs_mse,fs5_mse
etth1,1536,96,0.357,
etth1,1536,192,0.386,
etth1,1536,336,0.405,
etth1,1536,720,0.435,
etth2,1536,96,0.274,
etth2,1536,192,0.331,
etth2,1536,336,0.356,
etth2,1536,720,0.392,
ettm1,1536,96,0.327,
ettm1,1536,192,0.353,
ettm1,1536,336,0.387,
ettm1,1536,720,0.399,
ettm2,1536,96,0.168,
ettm2,1536,192,0.231,
ettm2,1536,336,0.276,
ettm2,1536,720,0.35,
weather,1536,96,0.15,
weather,1536,192,0.192,
weather,1536,336,0.248,
weather,1536,720,0.316,
electricity,1536,96,0.155,
electricity,1536,192,0.178,
electricity,1536,336,0.197,
electricity,1536,720,0.253,
traffic,1536,96,0.463,
traffic,1536,192,0.488,
traffic,1536,336,0.504,
traffic,1536,720,0.566,
exchange,1536,96,0.092,
zafnoo,1536,96,0.425,
exchange,1536,192,0.185,
zafnoo,1536,192,0.473,
exchange,1536,336,0.385,
zafnoo,1536,336,0.518,
exchange,1536,720,0.761,
zafnoo,1536,720,0.604,
