dataset,CL,FL,zs_mse,fs5_mse
etth1,512,96,0.363,
etth1,512,192,0.387,
etth1,512,336,0.402,
etth1,512,720,0.475,
etth2,512,96,0.276,
etth2,512,192,0.346,
etth2,512,336,0.385,
etth2,512,720,0.419,
ettm1,512,96,0.338,
ettm1,512,192,0.38,
ettm1,512,336,0.402,
ettm1,512,720,0.446,
ettm2,512,96,0.176,
ettm2,512,192,0.246,
ettm2,512,336,0.324,
ettm2,512,720,0.406,
weather,512,96,0.15,
weather,512,192,0.195,
weather,512,336,0.256,
weather,512,720,0.319,
electricity,512,96,0.18,
electricity,512,192,0.194,
electricity,512,336,0.213,
electricity,512,720,0.26,
traffic,512,96,0.518,
traffic,512,192,0.538,
traffic,512,336,0.571,
traffic,512,720,0.617,
exchange,512,96,0.094,
zafnoo,512,96,0.431,
exchange,512,192,0.189,
zafnoo,512,192,0.488,
exchange,512,336,0.315,
zafnoo,512,336,0.548,
exchange,512,720,0.949,
zafnoo,512,720,0.602,
