dataset,CL,FL,zs_mse,fs5_mse
etth1,1024,96,0.359,
etth1,1024,192,0.389,
etth1,1024,336,0.409,
etth1,1024,720,0.462,
etth2,1024,96,0.269,
etth2,1024,192,0.331,
etth2,1024,336,0.359,
etth2,1024,720,0.402,
ettm1,1024,96,0.337,
ettm1,1024,192,0.387,
ettm1,1024,336,0.411,
ettm1,1024,720,0.427,
ettm2,1024,96,0.176,
ettm2,1024,192,0.239,
ettm2,1024,336,0.29,
ettm2,1024,720,0.391,
weather,1024,96,0.15,
weather,1024,192,0.195,
weather,1024,336,0.245,
weather,1024,720,0.318,
electricity,1024,96,0.158,
electricity,1024,192,0.181,
electricity,1024,336,0.196,
electricity,1024,720,0.255,
traffic,1024,96,0.474,
traffic,1024,192,0.496,
traffic,1024,336,0.521,
traffic,1024,720,0.581,
exchange,1024,96,0.092,
zafnoo,1024,96,0.417,
exchange,1024,192,0.211,
zafnoo,1024,192,0.469,
exchange,1024,336,0.413,
zafnoo,1024,336,0.509,
exchange,1024,720,0.901,
zafnoo,1024,720,0.591,
