dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[mean],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates,horizon,ttm_context_len,available_context_len,finetune_success,finetune_train_num_samples,finetune_valid_num_samples
bitbrains_fast_storage/5T/long,TTM,4529164.012994989,4529164.012994989,380.9420524424308,380.9420524424308,0.9394458164208644,3.048631886635439,0.8391820701172429,22.74414870175866,2128.183265838492,5.624153256627958,1.0067161598446797,0.936580219208045,Web/CloudOps,2,720,1536,7200,True,1024165,50000
bitbrains_fast_storage/5T/medium,TTM,3249127.037854915,3249127.037854915,292.2069576886881,292.2069576886881,1.068926268149068,3.625343013166696,0.8301840716269131,29.18423143146788,1802.533505334898,5.476594260946222,0.8878053821191525,0.826709846974402,Web/CloudOps,2,480,1536,7680,True,1245773,50000
bitbrains_fast_storage/5T/short,TTM,2188035.3089685044,2188035.3089685044,179.84600146677184,179.84600146677184,0.7361521349445582,2.4303922735853773,0.7435961398563781,19.923774370529102,1479.200902165931,4.6443268731817,0.564672193224979,0.5632991082577066,Web/CloudOps,2,48,1536,7776,True,1485084,50000
bitbrains_fast_storage/H/short,TTM,4344492.392656429,4344492.392656429,404.63607039880026,404.63607039880026,1.203414758921277,5.71502528939867,0.6278372787609021,30.39962961492866,2084.3445954679446,5.941059081247001,1.153344224304327,1.0296736576079033,Web/CloudOps,2,48,512,625,True,7460,24842
bitbrains_rnd/5T/long,TTM,2520869.066531096,2520869.066531096,208.53265792401265,208.53265792401265,3.5032975288077983,2.470789267306167,0.7526276027151398,124.19434503556668,1587.7244932705094,6.0822145584442655,0.7988415958261679,0.7619744795916943,Web/CloudOps,2,720,1536,7200,True,386117,50000
bitbrains_rnd/5T/medium,TTM,2581120.5718967826,2581120.5718967826,189.13196051911396,189.13196051911396,4.529739862550385,1.8597838592086184,0.755947169280326,166.9955513472105,1606.586621348747,6.759728977156079,0.795774580118248,0.7830223720104336,Web/CloudOps,2,480,1536,7680,True,470991,50000
bitbrains_rnd/5T/short,TTM,1405960.4180228312,1405960.4180228312,113.64165808495376,113.64165808495376,1.752523322122541,1.2208038790000864,0.6699318741274589,59.85162637591433,1185.7320177944218,4.851673710598114,0.4649889154423941,0.4672911821190151,Web/CloudOps,2,48,1536,7776,True,567101,50000
bitbrains_rnd/H/short,TTM,1935735.4710476396,1935735.4710476396,220.11680854703272,220.11680854703272,6.063022334614292,4.07971041973791,0.6767789985993902,220.39908083295688,1391.3071088180493,6.0890411810833,0.9633389374615716,0.892160566815821,Web/CloudOps,2,48,512,624,True,2352,7411
bizitobs_application/10S/long,TTM,7161095.623435257,7161095.623435257,1605.0678208584256,1605.0678208584256,3.805221051216473,0.0547638732332978,0.0557829134301814,82.12953432503635,2676.0223510716905,0.1032034857138036,0.0619010502110752,0.0576616997186825,Web/CloudOps,2,900,1536,7934,True,956,3824
bizitobs_application/10S/medium,TTM,5597720.431698502,5597720.431698502,1338.1251528501512,1338.1251528501512,3.0532961256965945,0.0437932691255441,0.0447142822820668,63.03790058416509,2365.9502175021566,0.0929039016337513,0.0525442364147822,0.048599971547467,Web/CloudOps,2,600,1536,7634,True,980,3920
