Dataset,Mask Type,Mask Ratio,MSE
ETTh1,block,0.125,0.053
ETTh1,block,0.25,0.069
ETTh1,block,0.375,0.098
ETTh1,block,0.5,0.129
ETTh2,block,0.125,0.051
ETTh2,block,0.25,0.055
ETTh2,block,0.375,0.063
ETTh2,block,0.5,0.070
ETTm1,block,0.125,0.023
ETTm1,block,0.25,0.029
ETTm1,block,0.375,0.038
ETTm1,block,0.5,0.053
ETTm2,block,0.125,0.025
ETTm2,block,0.25,0.026
ETTm2,block,0.375,0.032
ETTm2,block,0.5,0.036
weather,block,0.125,0.033
weather,block,0.25,0.038
weather,block,0.375,0.042
weather,block,0.5,0.048
electricity,block,0.125,0.053
electricity,block,0.25,0.057
electricity,block,0.375,0.062
electricity,block,0.5,0.068
ETTh1,hybrid,0.125,0.044
ETTh1,hybrid,0.25,0.051
ETTh1,hybrid,0.375,0.066
ETTh1,hybrid,0.5,0.081
ETTh2,hybrid,0.125,0.041
ETTh2,hybrid,0.25,0.043
ETTh2,hybrid,0.375,0.047
ETTh2,hybrid,0.5,0.053
ETTm1,hybrid,0.125,0.018
ETTm1,hybrid,0.25,0.022
ETTm1,hybrid,0.375,0.026
ETTm1,hybrid,0.5,0.032
ETTm2,hybrid,0.125,0.021
ETTm2,hybrid,0.25,0.022
ETTm2,hybrid,0.375,0.024
ETTm2,hybrid,0.5,0.026
weather,hybrid,0.125,0.036
weather,hybrid,0.25,0.032
weather,hybrid,0.375,0.033
weather,hybrid,0.5,0.035
electricity,hybrid,0.125,0.043
electricity,hybrid,0.25,0.047
electricity,hybrid,0.375,0.050
electricity,hybrid,0.5,0.054
